"","x"
"370","TMS21F1976P0116.A41571|||TMS21F1976P0116"
"371","TMS21F2014P0018.A41572|||TMS21F2014P0018"
"372","TMS21F2242P0025.A41573|||TMS21F2242P0025"
"373","TMS21F2018P0008.A41574|||TMS21F2018P0008"
"374","IITA-TMS-IBA070593.A42709|||IITA-TMS-IBA070593"
"375","TMS21F2227P0053.A41575|||TMS21F2227P0053"
"376","TMS21F2248P0003.A41576|||TMS21F2248P0003"
"377","TMS21F2098P0001.A41577|||TMS21F2098P0001"
"378","TMS21F2031P0002.A41578|||TMS21F2031P0002"
"379","TMS21F1983P0010.A41579|||TMS21F1983P0010"
"380","TMS21F2241P0007.A41581|||TMS21F2241P0007"
"381","TMS21F2246P0025.A41582|||TMS21F2246P0025"
"382","TMS21F2013P0011.A41583|||TMS21F2013P0011"
"383","TMS21F2028P0001.A41584|||TMS21F2028P0001"
"384","TMS21F2044P0025.A41585|||TMS21F2044P0025"
"385","TMS21F2121P0012.A41586|||TMS21F2121P0012"
"386","TMS21F2084P0023.A41587|||TMS21F2084P0023"
"387","TMS21F2234P0010.A41588|||TMS21F2234P0010"
"388","TMEB419.A42586|||TMEB419"
"389","TMEB419.A42682|||TMEB419"
"390","TMS21F2128P0002.A41589|||TMS21F2128P0002"
"391","TMS21F2092P0016.A41591|||TMS21F2092P0016"
"392","TMS21F2090P0024.A41592|||TMS21F2090P0024"
"393","TMS21F2020P0001.A41593|||TMS21F2020P0001"
"394","TMS21F2074P0006.A41594|||TMS21F2074P0006"
"395","TMS21F2243P0029.A41491|||TMS21F2243P0029"
"396","TMS21F2012P0002.A41492|||TMS21F2012P0002"
"397","TMS21F2019P0009.A41493|||TMS21F2019P0009"
"398","TMS21F2010P0005.A41494|||TMS21F2010P0005"
"399","TMS21F2242P0007.A41495|||TMS21F2242P0007"
"400","TMS21F2241P0072.A41497|||TMS21F2241P0072"
"401","TMEB419.A42586|||TMEB419"
"402","TMEB419.A42682|||TMEB419"
"403","TMS21F2049P0005.A41498|||TMS21F2049P0005"
"404","TMS21F2243P0060.A41499|||TMS21F2243P0060"
"405","TMS21F2019P0007.A41500|||TMS21F2019P0007"
"406","TMS21F2242P0010.A41501|||TMS21F2242P0010"
"407","TMS21F2245P0114.A41502|||TMS21F2245P0114"
"408","TMS21F2019P0003.A41597|||TMS21F2019P0003"
"409","TMS21F2017P0002.A41598|||TMS21F2017P0002"
"410","TMS13F1343P0022.A41596|||TMS13F1343P0022"
